res,mp,tile,size,ms
(400 300),0.11444091796875,(16 16),450,0.3296842575073242
(640 480),0.29296875,(16 16),1200,0.8869006633758545
(800 600),0.457763671875,(16 16),1850,0.9717986583709717
(1024 768),0.75,(16 16),3072,0.986461639404297
(1600 1200),1.8310546875,(16 16),7500,0.9587085247039795
(1920 1080),1.9775390625,(16 16),8040,0.9570188522338867
(2560 1440),3.515625,(16 16),14400,0.9713253974914551
(2048 2048),4.0,(16 16),16384,1.091193437576294
(3600 2400),8.23974609375,(16 16),33750,1.124898910522461
(4096 4096),16.0,(16 16),65536,1.314159631729126
(8192 8192),64.0,(16 16),262144,2.4426732063293457
